cust_id,visit_cnt,prod_cnt,category_cnt,brand_cnt,visit_week_num,tot_8wk_spend,max_8wk_spend,tot_8wk_quantity,fresh_food_cnt,dry_grocery_cnt,apparel_cnt,hardline_cnt,electronics_cnt,family_care_cnt,spd_fresh_food,spd_dry_grocery,spd_apparel,spd_hardline,spd_electronics,spd_family_care,prod_per_visit,cat_per_visit,brand_per_visit,spd_per_visit,quan_per_visit,fresh_food_spd_pct,dry_grocery_spd_pct,apparel_spd_pct,hardline_spd_pct,electronics_spd_pct,family_care_spd_pct,cust_id1,morning,midday,evening,spd_morning,spd_midday,spd_evening,wk_1_spd,wk_2_spd,wk_3_spd,wk_4_spd,wk_5_spd,wk_6_spd,wk_7_spd,wk_8_spd,wk_1_visit,wk_2_visit,wk_3_visit,wk_4_visit,wk_5_visit,wk_6_visit,wk_7_visit,wk_8_visit,defect
200100005007776 ,3,12,8,9,2,251.28,77.32,16.02,10,0,0,0,0,2,202.58,0,0,0,0,48.7,3.986710963,2.657807309,2.990033223,83.48172717,5.322259288,0.806160225,0,0,0,0,0.193799981,2.001E+14,35.53,85.54,0,135.76,115.52,0,0,0,0,0,135.76,107.3,0,0,0,0,0,0,1,1,0,0,1
200100005427541 ,1,3,2,2,1,148.2,72.9,3,0,3,0,0,0,0,0,148.2,0,0,0,0,2.97029703,1.98019802,1.98019802,146.7326702,2.97029703,0,0.999932528,0,0,0,0,2.001E+14,0,72.9,0,0,148.2,0,0,148.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
200100009436000 ,4,17,14,17,3,486.13,269,17.394,4,2,3,6,0,0,26.63,16.3,58.7,384.3,0,0,4.239401496,3.49127182,4.239401496,121.2294124,4.337656111,0.054778463,0.033529438,0.120747118,0.790513024,0,0,2.001E+14,0,314.6,12.8,0,443,43.13,0,0,0,43.13,0,377.6,13.8,0,0,0,0,1,0,1,1,0,1
200100010089254 ,4,17,10,15,3,145,19.9,17.21,5,6,1,3,0,1,42.3,27.8,19.9,36.8,0,17.9,4.239401496,2.493765586,3.740648379,36.159601,4.291770821,0.291704041,0.191710911,0.137231912,0.253775596,0,0.12343976,2.001E+14,0,0,68.3,0,0,145,0,0,61.6,0,0,0,38.9,23.1,0,0,1,0,0,0,1,1,0
200100010183414 ,41,70,37,57,7,1108.24,336,127.697,59,35,0,0,0,3,377.06,622.4,0,0,0,98.06,1.706900756,0.902218971,1.389904901,27.02365551,3.113801106,0.340230056,0.561606156,0,0,0,0.08848183,2.001E+14,0,232.34,574.19,0,330.02,778.22,91.82,62.76,0,336,8.13,29.9,68.86,21.17,1,1,0,1,1,1,1,1,0
200100007590687 ,4,27,22,24,2,486.4,73.8,47,5,15,0,1,0,10,76.9,123.7,0,10,0,275.5,6.733167082,5.486284289,5.985037406,121.296749,11.72069825,0.158097094,0.254312234,0,0.020558789,0,0.566394648,2.001E+14,0,73.8,19.9,0,266.1,230.3,145.3,0,266.1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
200100009768368 ,4,18,11,14,3,260.3,59.9,20.908,17,1,0,0,0,0,200.4,59.9,0,0,0,0,4.488778055,2.743142145,3.49127182,64.91271516,5.213965323,0.769851402,0.23011027,0,0,0,0,2.001E+14,100.4,27.9,0,195.7,64.6,0,64.6,0,0,99.6,42.5,0,0,0,1,0,0,1,1,0,0,0,0
200100004603330 ,4,35,22,28,3,457.45,58,45.732,16,13,1,2,0,2,200.65,116.2,50,12.5,0,77.9,8.728179551,5.486284289,6.982543641,114.0772869,11.40448839,0.438617613,0.254011334,0.109299193,0.027324798,0,0.170288145,2.001E+14,0,0,174.8,0,0,457.45,54.9,0,0,136,0,0,216.55,0,1,0,0,1,0,0,1,0,1
200100000280774 ,2,27,15,19,2,304.4,55.9,32.196,21,7,0,0,0,0,188.3,116.1,0,0,0,0,13.43283582,7.462686567,9.452736318,151.4427527,16.01791002,0.618573781,0.381393619,0,0,0,0,2.001E+14,55.9,46,0,167.27,137.13,0,137.13,0,0,0,167.27,0,0,0,1,0,0,0,1,0,0,0,0
200100004675459 ,5,15,15,15,3,176,49,12.98,5,3,2,0,0,4,34.6,18.9,58.8,0,0,63.5,2.994011976,2.994011976,2.994011976,35.12974661,2.590818272,0.196579719,0.107380242,0.334071865,0,0,0.360774893,2.001E+14,0,0,110.4,0,0,176,0,0,49,24.3,0,34.9,0,0,0,0,1,1,0,1,0,0,0
