cust_id	payment_category_desc	payment_amount_share
200100009390407 	现金支付	0.782198093
200100007454474 	现金支付	0.99680919
200100007630444 	银行卡支付	0.260765658
200100009404245 	银行卡支付	0.878674644
200100009037063 	现金支付	0.994065282
200100008870525 	现金支付	0.933168467
200100007568337 	银行卡支付	0.856669919
200100001411424 	现金支付	0.529692153
200100005431438 	电子支付	0.004987642
200100009032546 	现金支付	0.354861127
200100006668971 	现金支付	0.92738772
200100003953475 	银行卡支付	0.920498399
200100002258105 	银行卡支付	0.233906758
200100009464534 	银行卡支付	0.059948898
200100008710340 	电子支付	0.408620279
200100006840869 	银行卡支付	0.708192082
200100001787246 	预支付卡支付	0.921768465
200100009541242 	现金支付	0.998014297
200100002456372 	银行卡支付	0.124113018
200100006837779 	电子支付	0.083593968
200100001300993 	银行卡支付	0.879044161
200100007838220 	活动支付	0.133923647
200100007357036 	现金支付	0.997410668
200100007400923 	银行卡支付	0.797209288
200100002056984 	现金支付	0.996806132
200100001776695 	现金支付	0.086708328
200100008746565 	现金支付	0.0879474
200100002107241 	现金支付	0.044656826
200100001991886 	银行卡支付	0.45675442
200100009003019 	现金支付	0.471293249
200100001639492 	电子支付	0.263124372
200100008503591 	电子支付	0.729831676
200100002118960 	银行卡支付	0.998453688
200100009274728 	现金支付	0.692795694
200100001690995 	预支付卡支付	0.046540028
200100005347644 	现金支付	0.696278998
200100008836472 	现金支付	0.271788653
200100008721674 	现金支付	0.473361383
200100009110517 	电子支付	0.064905005
200100005331782 	银行卡支付	0.951219512
200100004766014 	现金支付	0.84922328
200100009435813 	现金支付	0.15722241
200100005427890 	现金支付	0.472458569
200100007606938 	银行卡支付	0.35147191
200100002306928 	预支付卡支付	0.99586264
200100005365696 	银行卡支付	0.172111783
200100009473522 	现金支付	0.903110037
200100008459170 	现金支付	0.998739919
200100009948059 	银行卡支付	0.993041058
200100009314862 	银行卡支付	0.064862052
200100008720504 	现金支付	0.999173349
200100002072595 	现金支付	0.996311324
200100008760874 	现金支付	0.777735887
200100002274421 	现金支付	0.086200682
200100009313351 	银行卡支付	0.37662001
200100007839728 	银行卡支付	0.102106391
200100009703071 	银行卡支付	0.999241815
200100008124094 	银行卡支付	0.500288658
200100005439838 	电子支付	0.065451918
200100005411097 	现金支付	0.999648617
200100009964522 	银行卡支付	0.141482057
200100009307731 	银行卡支付	0.87209701
200100008082670 	预支付卡支付	0.287755288
200100007778888 	银行卡支付	0.999103501
200100001222826 	现金支付	0.36924506
200100001376444 	电子支付	0.297842192
200100009913690 	银行卡支付	0.997629208
200100009189059 	现金支付	0.074116571
200100009560478 	预支付卡支付	0.078132171
200100001265120 	现金支付	0.999240179
200100001780017 	现金支付	0.999164306
200100007843920 	现金支付	0.587225016
200100006692257 	银行卡支付	0.247245936
200100001804231 	银行卡支付	0.081258184
200100002240698 	现金支付	0.446490962
200100001308405 	银行卡支付	0.357076555
200100009892276 	银行卡支付	0.460790126
200100006424566 	现金支付	0.878926734
200100008772147 	银行卡支付	0.463995846
200100007840819 	现金支付	0.944715464
200100008742495 	银行卡支付	0.950617665
200100007988196 	现金支付	0.666512137
200100009292163 	银行卡支付	0.709901646
200100008035426 	银行卡支付	0.496264203
200100005098827 	现金支付	0.997392438
200100007580447 	银行卡支付	0.623764294
200100006667442 	预支付卡支付	0.139600692
200100009314794 	电子支付	0.00823589
200100001969064 	银行卡支付	0.847916344
200100002011231 	现金支付	0.109058865
200100006661066 	银行卡支付	0.53595804
200100001400158 	现金支付	0.999525482
200100007371386 	银行卡支付	0.994502474
200100007946045 	现金支付	0.439981967
200100008025165 	银行卡支付	0.394947471
200100005354274 	银行卡支付	0.812817286
200100008174483 	银行卡支付	0.41295825
200100009515875 	银行卡支付	0.997029115
200100006516870 	现金支付	0.075861486
200100002455417 	银行卡支付	0.997369805
200100008986002 	活动支付	0.000377472
200100006861724 	现金支付	0.902578797
200100009171683 	现金支付	0.068811647
200100001380363 	电子支付	0.420235002
200100009177189 	电子支付	0.068455854
200100006468737 	现金支付	0.659724661
200100008800198 	银行卡支付	0.117234777
200100009549349 	现金支付	0.995983936
200100001979819 	现金支付	0.588744563
200100009130348 	现金支付	0.995714398
200100008876457 	银行卡支付	0.61957657
200100008061754 	银行卡支付	0.668726367
200100007630072 	活动支付	0.013557117
200100007955178 	现金支付	0.019436002
200100001324686 	银行卡支付	0.308435851
200100001389207 	现金支付	0.883563661
200100008854640 	现金支付	0.325890451
200100009772702 	银行卡支付	0.094714333
200100009594898 	预支付卡支付	0.852260767
200100007837554 	银行卡支付	0.536252158
200100004695509 	银行卡支付	0.181502396
200100005098036 	电子支付	0.045989306
200100009185753 	银行卡支付	0.248404934
200100009034102 	电子支付	0.905482043
200100002088848 	银行卡支付	0.235702588
200100009831209 	银行卡支付	0.845388543
200100008498649 	银行卡支付	0.359577291
200100008506777 	现金支付	0.519512354
200100008050559 	现金支付	0.999127742
200100007610413 	银行卡支付	0.804628525
200100002110230 	现金支付	0.997619048
